Path,AcquisitionMatrixPE,AcquisitionNumber,AcquisitionTime,BandwidthPerPixelPhaseEncode,BaseResolution,BidsGuess,BodyPart,CoilCombinationMethod,CoilString,ConsistencyInfo,ConversionSoftware,ConversionSoftwareVersion,DelayTime,DerivedVendorReportedEchoSpacing,DeviceSerialNumber,DwellTime,EchoTime,EchoTrainLength,EffectiveEchoSpacing,FlipAngle,ImageComments,ImageOrientationPatientDICOM,ImageOrientationText,ImageType,ImagingFrequency,InPlanePhaseEncodingDirectionDICOM,InstitutionAddress,InstitutionName,InstitutionalDepartmentName,Interpolation2D,MRAcquisitionType,MagneticFieldStrength,Manufacturer,ManufacturersModelName,MatrixCoilMode,Modality,MultibandAccelerationFactor,NonlinearGradientCorrection,ParallelReductionFactorInPlane,PartialFourier,PatientPosition,PercentPhaseFOV,PercentSampling,PhaseEncodingDirection,PhaseEncodingSteps,PhaseOversampling,PhaseResolution,PixelBandwidth,ProcedureStepDescription,ProtocolName,PulseSequenceDetails,ReceiveCoilActiveElements,ReceiveCoilName,ReconMatrixPE,RefLinesPE,RepetitionTime,SAR,ScanOptions,ScanningSequence,SequenceName,SequenceVariant,SeriesDescription,SeriesNumber,ShimSetting,SliceThickness,SliceTiming,SoftwareVersions,SpacingBetweenSlices,StationName,StudyDescription,TablePosition,TotalReadoutTime,TxRefAmp,VendorReportedEchoSpacing,WipMemBlock,Error
dcm_qa_dti/Ref/dti_nopf_x2_2axis_6.json,72,1,13:21:39.352500,29.869,72,"['dwi', '_acq-epb0p2_dir-AP_run-6_dwi']",BRAIN,Adaptive Combine,,N4_VD13D_LATEST_20130810,dcm2niix,v1.0.20260416,,0.000929987,67060,5.2e-06,0.079,35,0.000464993,90,,"[0.924945, 0.129034, 0.35753, -8.64178e-09, 0.940616, -0.339472]",Tra>Sag(23.6)>Cor(-18.3),"['ORIGINAL', 'PRIMARY', 'DIFFUSION', 'NONE', 'ND', 'MOSAIC']",123.255708,COL,"Medical Center Dr 5,Columbia,SC,US,29203",R,Radiology,,2D,3,Siemens,Prisma_fit,GRAPPA,MR,,False,2,1,HFS,100,100,j-,71,,1,1335,Research^Rorden_Prisma,dti_nopf_x2_2axis,%SiemensSeq%\ep2d_diff,HEA;HEP,Head_32,72,32,5.6,0.179968,FS,EP,*ep_b0,SK\SP,dti_nopf_x2_2axis,6,"[6810, -6600, 2431, 423, -13, -178, 265, 28]",3,"[2.79, 0, 2.945, 0.155, 3.1, 0.31, 3.255, 0.465, 3.41, 0.62, 3.565, 0.775, 3.72, 0.93, 3.875, 1.085, 4.03, 1.24, 4.185, 1.395, 4.34, 1.55, 4.495, 1.705, 4.65, 1.86, 4.805, 2.015, 4.96, 2.17, 5.115, 2.325, 5.27, 2.48, 5.425, 2.635]",syngo MR D13D,3,MRC35131,Research^Rorden_Prisma,"[0, 0, 0]",0.0330145,246.439,,,
dcm_qa_dti/Ref/dti_nopf_x2_ortho_2.json,72,1,13:05:53.490000,29.869,72,"['dwi', '_acq-epb0p2_dir-AP_run-2_dwi']",BRAIN,Adaptive Combine,,N4_VD13D_LATEST_20130810,dcm2niix,v1.0.20260416,,0.000929987,67060,5.2e-06,0.079,35,0.000464993,90,,"[1, 0, 0, 0, 1, 0]",Tra,"['ORIGINAL', 'PRIMARY', 'DIFFUSION', 'NONE', 'ND', 'MOSAIC']",123.255705,COL,"Medical Center Dr 5,Columbia,SC,US,29203",R,Radiology,,2D,3,Siemens,Prisma_fit,GRAPPA,MR,,False,2,1,HFS,100,100,j-,71,,1,1335,Research^Rorden_Prisma,dti_nopf_x2_ortho,%SiemensSeq%\ep2d_diff,HEA;HEP,Head_32,72,32,5.6,0.179968,FS,EP,*ep_b0,SK\SP,dti_nopf_x2_ortho,2,"[6811, -6608, 2428, 437, -14, -177, 223, 26]",3,"[2.79, 0, 2.945, 0.155, 3.1, 0.31, 3.255, 0.465, 3.41, 0.62, 3.565, 0.775, 3.72, 0.93, 3.875, 1.085, 4.03, 1.24, 4.185, 1.395, 4.34, 1.55, 4.495, 1.705, 4.65, 1.86, 4.805, 2.015, 4.96, 2.17, 5.115, 2.325, 5.27, 2.48, 5.425, 2.635]",syngo MR D13D,3,MRC35131,Research^Rorden_Prisma,"[0, 0, 0]",0.0330145,246.439,,,
dcm_qa_dti/Ref/dti_nopf_x2_pitch_4.json,72,1,13:13:42.910000,29.869,72,"['dwi', '_acq-epb0p2_dir-AP_run-4_dwi']",BRAIN,Adaptive Combine,,N4_VD13D_LATEST_20130810,dcm2niix,v1.0.20260416,,0.000929987,67060,5.2e-06,0.079,35,0.000464993,90,,"[1, 0, 0, 0, 0.961741, -0.273959]",Tra>Cor(-15.9),"['ORIGINAL', 'PRIMARY', 'DIFFUSION', 'NONE', 'ND', 'MOSAIC']",123.255704,COL,"Medical Center Dr 5,Columbia,SC,US,29203",R,Radiology,,2D,3,Siemens,Prisma_fit,GRAPPA,MR,,False,2,1,HFS,100,100,j-,71,,1,1335,Research^Rorden_Prisma,dti_nopf_x2_pitch,%SiemensSeq%\ep2d_diff,HEA;HEP,Head_32,72,32,5.6,0.179968,FS,EP,*ep_b0,SK\SP,dti_nopf_x2_pitch,4,"[6812, -6600, 2428, 451, -20, -157, 248, 25]",3,"[2.79, 0, 2.945, 0.155, 3.1, 0.31, 3.255, 0.465, 3.41, 0.62, 3.565, 0.775, 3.72, 0.93, 3.875, 1.085, 4.03, 1.24, 4.185, 1.395, 4.34, 1.55, 4.495, 1.705, 4.65, 1.86, 4.805, 2.015, 4.96, 2.17, 5.115, 2.325, 5.27, 2.48, 5.425, 2.635]",syngo MR D13D,3,MRC35131,Research^Rorden_Prisma,"[0, 0, 0]",0.0330145,246.439,,,
dcm_qa_dti/Ref/dti_nopf_x2_roll_3.json,72,1,13:09:48.615000,29.869,72,"['dwi', '_acq-epb0p2_dir-AP_run-3_dwi']",BRAIN,Adaptive Combine,,N4_VD13D_LATEST_20130810,dcm2niix,v1.0.20260416,,0.000929987,67060,5.2e-06,0.079,35,0.000464993,90,,"[0.926529, 0, 0.376224, 0, 1, 0]",Tra>Sag(22.1),"['ORIGINAL', 'PRIMARY', 'DIFFUSION', 'NONE', 'ND', 'MOSAIC']",123.255705,COL,"Medical Center Dr 5,Columbia,SC,US,29203",R,Radiology,,2D,3,Siemens,Prisma_fit,GRAPPA,MR,,False,2,1,HFS,100,100,j-,71,,1,1335,Research^Rorden_Prisma,dti_nopf_x2_roll,%SiemensSeq%\ep2d_diff,HEA;HEP,Head_32,72,32,5.6,0.179968,FS,EP,*ep_b0,SK\SP,dti_nopf_x2_roll,3,"[6812, -6608, 2429, 429, -24, -166, 229, 21]",3,"[2.79, 0, 2.945, 0.155, 3.1, 0.31, 3.255, 0.465, 3.41, 0.62, 3.565, 0.775, 3.72, 0.93, 3.875, 1.085, 4.03, 1.24, 4.185, 1.395, 4.34, 1.55, 4.495, 1.705, 4.65, 1.86, 4.805, 2.015, 4.96, 2.17, 5.115, 2.325, 5.27, 2.48, 5.425, 2.635]",syngo MR D13D,3,MRC35131,Research^Rorden_Prisma,"[0, 0, 0]",0.0330145,246.439,,,
dcm_qa_dti/Ref/dti_nopf_x2_yaw_5.json,72,1,13:17:43.400000,29.869,72,"['dwi', '_acq-epb0p2_dir-AP_run-5_dwi']",BRAIN,Adaptive Combine,,N4_VD13D_LATEST_20130810,dcm2niix,v1.0.20260416,,0.000929987,67060,5.2e-06,0.079,35,0.000464993,90,,"[0.946085, -0.323917, 0, 0.323917, 0.946085, 0]",Tra,"['ORIGINAL', 'PRIMARY', 'DIFFUSION', 'NONE', 'ND', 'MOSAIC']",123.255707,COL,"Medical Center Dr 5,Columbia,SC,US,29203",R,Radiology,,2D,3,Siemens,Prisma_fit,GRAPPA,MR,,False,2,1,HFS,100,100,j-,71,,1,1335,Research^Rorden_Prisma,dti_nopf_x2_yaw,%SiemensSeq%\ep2d_diff,HEA;HEP,Head_32,72,32,5.6,0.179968,FS,EP,*ep_b0,SK\SP,dti_nopf_x2_yaw,5,"[6813, -6609, 2429, 454, -7, -166, 233, 32]",3,"[2.79, 0, 2.945, 0.155, 3.1, 0.31, 3.255, 0.465, 3.41, 0.62, 3.565, 0.775, 3.72, 0.93, 3.875, 1.085, 4.03, 1.24, 4.185, 1.395, 4.34, 1.55, 4.495, 1.705, 4.65, 1.86, 4.805, 2.015, 4.96, 2.17, 5.115, 2.325, 5.27, 2.48, 5.425, 2.635]",syngo MR D13D,3,MRC35131,Research^Rorden_Prisma,"[0, 0, 0]",0.0330145,246.439,,,
