Path,AcquisitionMatrixPE,AcquisitionNumber,AcquisitionTime,BandwidthPerPixelPhaseEncode,BaseResolution,BidsGuess,BodyPart,CoilCombinationMethod,CoilString,ConsistencyInfo,ConversionSoftware,ConversionSoftwareVersion,DelayTime,DerivedVendorReportedEchoSpacing,DeviceSerialNumber,DwellTime,EchoTime,EchoTrainLength,EffectiveEchoSpacing,FlipAngle,ImageComments,ImageOrientationPatientDICOM,ImageOrientationText,ImageType,ImagingFrequency,InPlanePhaseEncodingDirectionDICOM,InstitutionAddress,InstitutionName,InstitutionalDepartmentName,Interpolation2D,MRAcquisitionType,MagneticFieldStrength,Manufacturer,ManufacturersModelName,MatrixCoilMode,Modality,MultibandAccelerationFactor,NonlinearGradientCorrection,ParallelReductionFactorInPlane,PartialFourier,PatientPosition,PercentPhaseFOV,PercentSampling,PhaseEncodingDirection,PhaseEncodingSteps,PhaseOversampling,PhaseResolution,PixelBandwidth,ProcedureStepDescription,ProtocolName,PulseSequenceDetails,ReceiveCoilActiveElements,ReceiveCoilName,ReconMatrixPE,RefLinesPE,RepetitionTime,SAR,ScanOptions,ScanningSequence,SequenceName,SequenceVariant,SeriesDescription,SeriesNumber,ShimSetting,SliceThickness,SliceTiming,SoftwareVersions,SpacingBetweenSlices,StationName,StudyDescription,TablePosition,TotalReadoutTime,TxRefAmp,VendorReportedEchoSpacing,WipMemBlock,Error
dcm_qa_ts/Ref/1.json,64,1,13:49:35.305000,55.804,64,"['func', '_acq-epfid2p2_dir-AP_run-1_bold']",,Sum of Squares,T:HEA;HEP,N4_VB17A_LATEST_20090307,dcm2niix,v1.0.20260416,0.5,0.000559996,35131,3.7e-06,0.03,,0.000279998,76,,"[1, -1e-16, 0, 1e-16, 0.994151, -0.107999]",Tra>Cor(-6.2),"['ORIGINAL', 'PRIMARY', 'M', 'ND', 'MOSAIC', 'MAGNITUDE']",123.247638,COL,"Medical Center Dr 5,Columbia,SC,US,29203",USC,Radiology,,2D,3,Siemens,TrioTim,GRAPPA,MR,,False,2,1,HFS,100,100,j-,64,,1,2111,Research^MCBI_TESTING,ax_asc_35sl,%SiemensSeq%\ep2d_bold,,HeadMatrix,64,32,3,0.0954132,FS,EP,*epfid2d1_64,SK,ax_asc_35sl,1,"[10737, -10591, 3103, 485, 9, -267, -184, 73]",3,"[0, 0.07, 0.1425, 0.215, 0.285, 0.3575, 0.43, 0.5, 0.5725, 0.645, 0.715, 0.7875, 0.86, 0.9325, 1.0025, 1.075, 1.1475, 1.2175, 1.29, 1.3625, 1.4325, 1.505, 1.5775, 1.6475, 1.72, 1.7925, 1.8625, 1.935, 2.0075, 2.0775, 2.15, 2.2225, 2.295, 2.365, 2.4375]",syngo MR B17,3.6,MRC35131,Research^MCBI_TESTING,"[0, 0, 0]",0.0176399,399.953,,,
dcm_qa_ts/Ref/2.json,64,1,13:49:35.305000,55.804,64,"['func', '_acq-epfid2p2_dir-AP_run-2_bold']",,Sum of Squares,T:HEA;HEP,N4_VB17A_LATEST_20090307,dcm2niix,v1.0.20260416,0.5,0.000559996,35131,3.7e-06,0.03,,0.000279998,76,,"[1, -1e-16, 0, 1e-16, 0.994151, -0.107999]",Tra>Cor(-6.2),"['ORIGINAL', 'PRIMARY', 'M', 'ND', 'MOSAIC', 'MAGNITUDE']",123.247638,COL,"Medical Center Dr 5,Columbia,SC,US,29203",USC,Radiology,,2D,3,Siemens,TrioTim,GRAPPA,MR,,False,2,1,HFS,100,100,j-,64,,1,2111,Research^MCBI_TESTING,ax_asc_35sl,%SiemensSeq%\ep2d_bold,,HeadMatrix,64,32,3,0.0954132,FS,EP,*epfid2d1_64,SK,ax_asc_35sl,2,"[10737, -10591, 3103, 485, 9, -267, -184, 73]",3,"[0, 0.07, 0.1425, 0.215, 0.285, 0.3575, 0.43, 0.5, 0.5725, 0.645, 0.715, 0.7875, 0.86, 0.9325, 1.0025, 1.075, 1.1475, 1.2175, 1.29, 1.3625, 1.4325, 1.505, 1.5775, 1.6475, 1.72, 1.7925, 1.8625, 1.935, 2.0075, 2.0775, 2.15, 2.2225, 2.295, 2.365, 2.4375]",syngo MR B17,3.6,MRC35131,Research^MCBI_TESTING,"[0, 0, 0]",0.0176399,399.953,,,
dcm_qa_ts/Ref/3.json,64,1,13:49:35.305000,55.804,64,"['func', '_acq-epfid2p2_dir-AP_run-3_bold']",,Sum of Squares,T:HEA;HEP,N4_VB17A_LATEST_20090307,dcm2niix,v1.0.20260416,0.5,0.000559996,35131,3.7e-06,0.03,,0.000279998,76,,"[1, -1e-16, 0, 1e-16, 0.994151, -0.107999]",Tra>Cor(-6.2),"['ORIGINAL', 'PRIMARY', 'M', 'ND', 'MOSAIC', 'MAGNITUDE']",123.247638,COL,"Medical Center Dr 5,Columbia,SC,US,29203",USC,Radiology,,2D,3,Siemens,TrioTim,GRAPPA,MR,,False,2,1,HFS,100,100,j-,64,,1,2111,Research^MCBI_TESTING,ax_asc_35sl,%SiemensSeq%\ep2d_bold,,HeadMatrix,64,32,3,0.0954132,FS,EP,*epfid2d1_64,SK,ax_asc_35sl,3,"[10737, -10591, 3103, 485, 9, -267, -184, 73]",3,"[0, 0.07, 0.1425, 0.215, 0.285, 0.3575, 0.43, 0.5, 0.5725, 0.645, 0.715, 0.7875, 0.86, 0.9325, 1.0025, 1.075, 1.1475, 1.2175, 1.29, 1.3625, 1.4325, 1.505, 1.5775, 1.6475, 1.72, 1.7925, 1.8625, 1.935, 2.0075, 2.0775, 2.15, 2.2225, 2.295, 2.365, 2.4375]",syngo MR B17,3.6,MRC35131,Research^MCBI_TESTING,"[0, 0, 0]",0.0176399,399.953,,,
dcm_qa_ts/Ref/4.json,64,1,13:49:35.305000,55.804,64,"['func', '_acq-epfid2p2_dir-AP_run-4_bold']",,Sum of Squares,T:HEA;HEP,N4_VB17A_LATEST_20090307,dcm2niix,v1.0.20260416,0.5,0.000559996,35131,3.7e-06,0.03,,0.000279998,76,,"[1, -1e-16, 0, 1e-16, 0.994151, -0.107999]",Tra>Cor(-6.2),"['ORIGINAL', 'PRIMARY', 'M', 'ND', 'MOSAIC', 'MAGNITUDE']",123.247638,COL,"Medical Center Dr 5,Columbia,SC,US,29203",USC,Radiology,,2D,3,Siemens,TrioTim,GRAPPA,MR,,False,2,1,HFS,100,100,j-,64,,1,2111,Research^MCBI_TESTING,ax_asc_35sl,%SiemensSeq%\ep2d_bold,,HeadMatrix,64,32,3,0.0954132,FS,EP,*epfid2d1_64,SK,ax_asc_35sl,4,"[10737, -10591, 3103, 485, 9, -267, -184, 73]",3,"[0, 0.07, 0.1425, 0.215, 0.285, 0.3575, 0.43, 0.5, 0.5725, 0.645, 0.715, 0.7875, 0.86, 0.9325, 1.0025, 1.075, 1.1475, 1.2175, 1.29, 1.3625, 1.4325, 1.505, 1.5775, 1.6475, 1.72, 1.7925, 1.8625, 1.935, 2.0075, 2.0775, 2.15, 2.2225, 2.295, 2.365, 2.4375]",syngo MR B17,3.6,MRC35131,Research^MCBI_TESTING,"[0, 0, 0]",0.0176399,399.953,,,
dcm_qa_ts/Ref/5.json,64,1,13:49:35.305000,55.804,64,"['func', '_acq-epfid2p2_dir-AP_run-5_bold']",,Sum of Squares,T:HEA;HEP,N4_VB17A_LATEST_20090307,dcm2niix,v1.0.20260416,0.5,0.000559996,35131,3.7e-06,0.03,,0.000279998,76,,"[1, -1e-16, 0, 1e-16, 0.994151, -0.107999]",Tra>Cor(-6.2),"['ORIGINAL', 'PRIMARY', 'M', 'ND', 'MOSAIC', 'MAGNITUDE']",123.247638,COL,"Medical Center Dr 5,Columbia,SC,US,29203",USC,Radiology,,2D,3,Siemens,TrioTim,GRAPPA,MR,,False,2,1,HFS,100,100,j-,64,,1,2111,Research^MCBI_TESTING,ax_asc_35sl,%SiemensSeq%\ep2d_bold,,HeadMatrix,64,32,3,0.0954132,FS,EP,*epfid2d1_64,SK,ax_asc_35sl,5,"[10737, -10591, 3103, 485, 9, -267, -184, 73]",3,"[0, 0.07, 0.1425, 0.215, 0.285, 0.3575, 0.43, 0.5, 0.5725, 0.645, 0.715, 0.7875, 0.86, 0.9325, 1.0025, 1.075, 1.1475, 1.2175, 1.29, 1.3625, 1.4325, 1.505, 1.5775, 1.6475, 1.72, 1.7925, 1.8625, 1.935, 2.0075, 2.0775, 2.15, 2.2225, 2.295, 2.365, 2.4375]",syngo MR B17,3.6,MRC35131,Research^MCBI_TESTING,"[0, 0, 0]",0.0176399,399.953,,,
dcm_qa_ts/Ref/6.json,64,1,13:49:35.305000,55.804,64,"['func', '_acq-epfid2p2_dir-AP_run-6_bold']",,Sum of Squares,T:HEA;HEP,N4_VB17A_LATEST_20090307,dcm2niix,v1.0.20260416,0.5,0.000559996,35131,3.7e-06,0.03,,0.000279998,76,,"[1, -1e-16, 0, 1e-16, 0.994151, -0.107999]",Tra>Cor(-6.2),"['ORIGINAL', 'PRIMARY', 'M', 'ND', 'MOSAIC', 'MAGNITUDE']",123.247638,COL,"Medical Center Dr 5,Columbia,SC,US,29203",USC,Radiology,,2D,3,Siemens,TrioTim,GRAPPA,MR,,False,2,1,HFS,100,100,j-,64,,1,2111,Research^MCBI_TESTING,ax_asc_35sl,%SiemensSeq%\ep2d_bold,,HeadMatrix,64,32,3,0.0954132,FS,EP,*epfid2d1_64,SK,ax_asc_35sl,6,"[10737, -10591, 3103, 485, 9, -267, -184, 73]",3,"[0, 0.07, 0.1425, 0.215, 0.285, 0.3575, 0.43, 0.5, 0.5725, 0.645, 0.715, 0.7875, 0.86, 0.9325, 1.0025, 1.075, 1.1475, 1.2175, 1.29, 1.3625, 1.4325, 1.505, 1.5775, 1.6475, 1.72, 1.7925, 1.8625, 1.935, 2.0075, 2.0775, 2.15, 2.2225, 2.295, 2.365, 2.4375]",syngo MR B17,3.6,MRC35131,Research^MCBI_TESTING,"[0, 0, 0]",0.0176399,399.953,,,
dcm_qa_ts/Ref/7.json,64,1,13:49:35.305000,55.804,64,"['func', '_acq-epfid2p2_dir-AP_run-7_bold']",,Sum of Squares,T:HEA;HEP,N4_VB17A_LATEST_20090307,dcm2niix,v1.0.20260416,0.5,0.000559996,35131,3.7e-06,0.03,,0.000279998,76,,"[1, -1e-16, 0, 1e-16, 0.994151, -0.107999]",Tra>Cor(-6.2),"['ORIGINAL', 'PRIMARY', 'M', 'ND', 'MOSAIC', 'MAGNITUDE']",123.247638,COL,"Medical Center Dr 5,Columbia,SC,US,29203",USC,Radiology,,2D,3,Siemens,TrioTim,GRAPPA,MR,,False,2,1,HFS,100,100,j-,64,,1,2111,Research^MCBI_TESTING,ax_asc_35sl,%SiemensSeq%\ep2d_bold,,HeadMatrix,64,32,3,0.0954132,FS,EP,*epfid2d1_64,SK,ax_asc_35sl,7,"[10737, -10591, 3103, 485, 9, -267, -184, 73]",3,"[0, 0.07, 0.1425, 0.215, 0.285, 0.3575, 0.43, 0.5, 0.5725, 0.645, 0.715, 0.7875, 0.86, 0.9325, 1.0025, 1.075, 1.1475, 1.2175, 1.29, 1.3625, 1.4325, 1.505, 1.5775, 1.6475, 1.72, 1.7925, 1.8625, 1.935, 2.0075, 2.0775, 2.15, 2.2225, 2.295, 2.365, 2.4375]",syngo MR B17,3.6,MRC35131,Research^MCBI_TESTING,"[0, 0, 0]",0.0176399,399.953,,,
dcm_qa_ts/Ref/8.json,64,1,13:49:35.305000,55.804,64,"['func', '_acq-epfid2p2_dir-AP_run-8_bold']",,Sum of Squares,T:HEA;HEP,N4_VB17A_LATEST_20090307,dcm2niix,v1.0.20260416,0.5,0.000559996,35131,3.7e-06,0.03,,0.000279998,76,,"[1, -1e-16, 0, 1e-16, 0.994151, -0.107999]",Tra>Cor(-6.2),"['ORIGINAL', 'PRIMARY', 'M', 'ND', 'MOSAIC', 'MAGNITUDE']",123.247638,COL,"Medical Center Dr 5,Columbia,SC,US,29203",USC,Radiology,,2D,3,Siemens,TrioTim,GRAPPA,MR,,False,2,1,HFS,100,100,j-,64,,1,2111,Research^MCBI_TESTING,ax_asc_35sl,%SiemensSeq%\ep2d_bold,,HeadMatrix,64,32,3,0.0954132,FS,EP,*epfid2d1_64,SK,ax_asc_35sl,8,"[10737, -10591, 3103, 485, 9, -267, -184, 73]",3,"[0, 0.07, 0.1425, 0.215, 0.285, 0.3575, 0.43, 0.5, 0.5725, 0.645, 0.715, 0.7875, 0.86, 0.9325, 1.0025, 1.075, 1.1475, 1.2175, 1.29, 1.3625, 1.4325, 1.505, 1.5775, 1.6475, 1.72, 1.7925, 1.8625, 1.935, 2.0075, 2.0775, 2.15, 2.2225, 2.295, 2.365, 2.4375]",syngo MR B17,3.6,MRC35131,Research^MCBI_TESTING,"[0, 0, 0]",0.0176399,399.953,,,
dcm_qa_ts/Ref/9.json,64,1,13:49:35.305000,55.804,64,"['func', '_acq-epfid2p2_dir-AP_run-9_bold']",,Sum of Squares,T:HEA;HEP,N4_VB17A_LATEST_20090307,dcm2niix,v1.0.20260416,0.5,0.000559996,35131,3.7e-06,0.03,,0.000279998,76,,"[1, -1e-16, 0, 1e-16, 0.994151, -0.107999]",Tra>Cor(-6.2),"['ORIGINAL', 'PRIMARY', 'M', 'ND', 'MOSAIC', 'MAGNITUDE']",123.247638,COL,"Medical Center Dr 5,Columbia,SC,US,29203",USC,Radiology,,2D,3,Siemens,TrioTim,GRAPPA,MR,,False,2,1,HFS,100,100,j-,64,,1,2111,Research^MCBI_TESTING,ax_asc_35sl,%SiemensSeq%\ep2d_bold,,HeadMatrix,64,32,3,0.0954132,FS,EP,*epfid2d1_64,SK,ax_asc_35sl,9,"[10737, -10591, 3103, 485, 9, -267, -184, 73]",3,"[0, 0.07, 0.1425, 0.215, 0.285, 0.3575, 0.43, 0.5, 0.5725, 0.645, 0.715, 0.7875, 0.86, 0.9325, 1.0025, 1.075, 1.1475, 1.2175, 1.29, 1.3625, 1.4325, 1.505, 1.5775, 1.6475, 1.72, 1.7925, 1.8625, 1.935, 2.0075, 2.0775, 2.15, 2.2225, 2.295, 2.365, 2.4375]",syngo MR B17,3.6,MRC35131,Research^MCBI_TESTING,"[0, 0, 0]",0.0176399,399.953,,,
